#      Name	     Mass	    Gamma	 Spin	Isospin	   I3	Nq	Ns	Naq	Nas	Nc	Nac	       MC	   Nyield
# pi0139plu	 0.139570	0.00000e+00	  0.0	  1.0	  1.0	1	0	1	0	0	0	      211	0.00101849
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    4.35293e-02	    1.39570e-01	    3.01101e-02	    9.46409e-02	   -9.85454e-04	    5.39220e-03	   -8.94385e-04	   -9.34038e-04	    3.28643e-02	    5.23599e-02	    6.35446e-01	   -8.41983e-06	    1.01425e-01	    2.43197e-03
    4.71619e-02	    1.39570e-01	    3.26118e-02	    1.01563e-01	   -1.16455e-03	    5.70031e-03	   -1.03752e-03	   -5.24674e-04	    3.55468e-02	    5.96170e-02	    6.82508e-01	    1.53018e-04	    1.00954e-01	    2.97726e-03
    5.07958e-02	    1.39570e-01	    3.50832e-02	    1.08254e-01	   -1.34348e-03	    5.99340e-03	   -1.17262e-03	   -5.58004e-05	    3.81534e-02	    6.72610e-02	    7.28099e-01	    3.63951e-04	    1.00492e-01	    3.58851e-03
    5.44310e-02	    1.39570e-01	    3.75149e-02	    1.14699e-01	   -1.51658e-03	    6.27541e-03	   -1.29390e-03	    4.60681e-04	    4.06645e-02	    7.52363e-02	    7.72109e-01	    6.26336e-04	    1.00044e-01	    4.26445e-03
    5.80676e-02	    1.39570e-01	    3.98970e-02	    1.20885e-01	   -1.67812e-03	    6.55055e-03	   -1.39592e-03	    1.01158e-03	    4.30611e-02	    8.34807e-02	    8.14430e-01	    9.40805e-04	    9.96119e-02	    5.00250e-03
    6.17058e-02	    1.39570e-01	    4.22198e-02	    1.26800e-01	   -1.82265e-03	    6.82312e-03	   -1.47384e-03	    1.58286e-03	    4.53254e-02	    9.19284e-02	    8.54968e-01	    1.30668e-03	    9.91985e-02	    5.79883e-03
    6.53456e-02	    1.39570e-01	    4.44741e-02	    1.32433e-01	   -1.94511e-03	    7.09737e-03	   -1.52353e-03	    2.16014e-03	    4.74414e-02	    1.00512e-01	    8.93639e-01	    1.72202e-03	    9.88046e-02	    6.64856e-03
    6.89871e-02	    1.39570e-01	    4.66511e-02	    1.37778e-01	   -2.04105e-03	    7.37734e-03	   -1.54178e-03	    2.72908e-03	    4.93955e-02	    1.09163e-01	    9.30369e-01	    2.18374e-03	    9.84297e-02	    7.54589e-03
    7.26304e-02	    1.39570e-01	    4.87428e-02	    1.42828e-01	   -2.10676e-03	    7.66673e-03	   -1.52632e-03	    3.27586e-03	    5.11768e-02	    1.17816e-01	    9.65099e-01	    2.68776e-03	    9.80725e-02	    8.48433e-03
    7.62757e-02	    1.39570e-01	    5.07422e-02	    1.47579e-01	   -2.13933e-03	    7.96880e-03	   -1.47591e-03	    3.78752e-03	    5.27769e-02	    1.26409e-01	    9.97784e-01	    3.22913e-03	    9.77309e-02	    9.45689e-03
    7.99230e-02	    1.39570e-01	    5.26432e-02	    1.52028e-01	   -2.13678e-03	    8.28629e-03	   -1.39027e-03	    4.25229e-03	    5.41906e-02	    1.34884e-01	    1.02839e+00	    3.80226e-03	    9.74016e-02	    1.04563e-02
    8.35723e-02	    1.39570e-01	    5.44411e-02	    1.56177e-01	   -2.09802e-03	    8.62133e-03	   -1.27004e-03	    4.65983e-03	    5.54155e-02	    1.43187e-01	    1.05690e+00	    4.40107e-03	    9.70811e-02	    1.14753e-02
    8.72239e-02	    1.39570e-01	    5.61321e-02	    1.60026e-01	   -2.02288e-03	    8.97547e-03	   -1.11671e-03	    5.00146e-03	    5.64520e-02	    1.51274e-01	    1.08331e+00	    5.01918e-03	    9.67652e-02	    1.25066e-02
    9.08778e-02	    1.39570e-01	    5.77137e-02	    1.63579e-01	   -1.91202e-03	    9.34958e-03	   -9.32512e-04	    5.27022e-03	    5.73031e-02	    1.59104e-01	    1.10762e+00	    5.65013e-03	    9.64495e-02	    1.35433e-02
    9.45342e-02	    1.39570e-01	    5.91846e-02	    1.66840e-01	   -1.76693e-03	    9.74393e-03	   -7.20259e-04	    5.46101e-03	    5.79740e-02	    1.66645e-01	    1.12985e+00	    6.28748e-03	    9.61293e-02	    1.45788e-02
    9.81930e-02	    1.39570e-01	    6.05445e-02	    1.69816e-01	   -1.58976e-03	    1.01582e-02	   -4.83244e-04	    5.57050e-03	    5.84721e-02	    1.73870e-01	    1.15004e+00	    6.92504e-03	    9.58001e-02	    1.56071e-02
    1.01854e-01	    1.39570e-01	    6.17943e-02	    1.72514e-01	   -1.38329e-03	    1.05916e-02	   -2.25091e-04	    5.59715e-03	    5.88065e-02	    1.80759e-01	    1.16823e+00	    7.55690e-03	    9.54575e-02	    1.66228e-02
    1.05519e-01	    1.39570e-01	    6.29358e-02	    1.74942e-01	   -1.15076e-03	    1.10426e-02	    5.03743e-05	    5.54108e-03	    5.89876e-02	    1.87299e-01	    1.18445e+00	    8.17765e-03	    9.50970e-02	    1.76210e-02
    1.09185e-01	    1.39570e-01	    6.39715e-02	    1.77108e-01	   -8.95800e-04	    1.15095e-02	    3.39254e-04	    5.40393e-03	    5.90266e-02	    1.93483e-01	    1.19877e+00	    8.78234e-03	    9.47149e-02	    1.85977e-02
    1.12855e-01	    1.39570e-01	    6.49048e-02	    1.79024e-01	   -6.22279e-04	    1.19903e-02	    6.37683e-04	    5.18870e-03	    5.89359e-02	    1.99307e-01	    1.21125e+00	    9.36666e-03	    9.43076e-02	    1.95494e-02
    1.16528e-01	    1.39570e-01	    6.57395e-02	    1.80697e-01	   -3.34217e-04	    1.24824e-02	    9.41928e-04	    4.89958e-03	    5.87277e-02	    2.04774e-01	    1.22196e+00	    9.92688e-03	    9.38721e-02	    2.04734e-02
    1.20204e-01	    1.39570e-01	    6.64802e-02	    1.82140e-01	   -3.56708e-05	    1.29832e-02	    1.24847e-03	    4.54173e-03	    5.84148e-02	    2.09890e-01	    1.23097e+00	    1.04599e-02	    9.34058e-02	    2.13674e-02
    1.23883e-01	    1.39570e-01	    6.71316e-02	    1.83363e-01	    2.69359e-04	    1.34901e-02	    1.55407e-03	    4.12113e-03	    5.80094e-02	    2.14664e-01	    1.23835e+00	    1.09634e-02	    9.29065e-02	    2.22300e-02
    1.27566e-01	    1.39570e-01	    6.76988e-02	    1.84375e-01	    5.77009e-04	    1.40001e-02	    1.85582e-03	    3.64430e-03	    5.75237e-02	    2.19109e-01	    1.24418e+00	    1.14354e-02	    9.23728e-02	    2.30602e-02
    1.31252e-01	    1.39570e-01	    6.81872e-02	    1.85188e-01	    8.83623e-04	    1.45106e-02	    2.15116e-03	    3.11823e-03	    5.69692e-02	    2.23238e-01	    1.24853e+00	    1.18748e-02	    9.18036e-02	    2.38575e-02
    1.34941e-01	    1.39570e-01	    6.86019e-02	    1.85812e-01	    1.18581e-03	    1.50187e-02	    2.43792e-03	    2.55009e-03	    5.63566e-02	    2.27068e-01	    1.25150e+00	    1.22810e-02	    9.11984e-02	    2.46217e-02
