# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       211	              pi+	  0.14000	0.00000e+00	1	0	  0	0	0	1	  1	  1	0.000643493
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    1.23883e-01	    1.40000e-01	    5.39465e-02	    1.11619e-01	    2.27786e-03	    4.74729e-03	    1.63502e-03	   -8.76366e-05	    2.70132e-02	    1.25751e-01	    6.45412e-01	    9.81116e-03	    4.76688e-02	    1.20833e-02
    1.27566e-01	    1.40000e-01	    5.41951e-02	    1.12488e-01	    2.34946e-03	    4.99401e-03	    1.62349e-03	   -5.91291e-04	    2.69869e-02	    1.27439e-01	    6.52479e-01	    9.97420e-03	    4.76236e-02	    1.24458e-02
    1.31252e-01	    1.40000e-01	    5.44019e-02	    1.13251e-01	    2.41363e-03	    5.24513e-03	    1.60945e-03	   -1.09267e-03	    2.69490e-02	    1.29153e-01	    6.58896e-01	    1.01226e-02	    4.75518e-02	    1.28084e-02
    1.34941e-01	    1.40000e-01	    5.45701e-02	    1.13912e-01	    2.47031e-03	    5.49953e-03	    1.59400e-03	   -1.58921e-03	    2.69003e-02	    1.30893e-01	    6.64674e-01	    1.02574e-02	    4.74538e-02	    1.31714e-02
    1.38634e-01	    1.40000e-01	    5.47025e-02	    1.14472e-01	    2.51955e-03	    5.75607e-03	    1.57825e-03	   -2.07855e-03	    2.68414e-02	    1.32661e-01	    6.69821e-01	    1.03797e-02	    4.73305e-02	    1.35349e-02
    1.42331e-01	    1.40000e-01	    5.48020e-02	    1.14936e-01	    2.56151e-03	    6.01370e-03	    1.56326e-03	   -2.55859e-03	    2.67724e-02	    1.34454e-01	    6.74348e-01	    1.04906e-02	    4.71824e-02	    1.38990e-02
    1.46031e-01	    1.40000e-01	    5.48708e-02	    1.15306e-01	    2.59644e-03	    6.27136e-03	    1.55002e-03	   -3.02746e-03	    2.66934e-02	    1.36272e-01	    6.78268e-01	    1.05911e-02	    4.70104e-02	    1.42635e-02
    1.49736e-01	    1.40000e-01	    5.49114e-02	    1.15586e-01	    2.62468e-03	    6.52809e-03	    1.53950e-03	   -3.48353e-03	    2.66045e-02	    1.38112e-01	    6.81592e-01	    1.06825e-02	    4.68156e-02	    1.46283e-02
    1.53444e-01	    1.40000e-01	    5.49258e-02	    1.15779e-01	    2.64662e-03	    6.78296e-03	    1.53253e-03	   -3.92540e-03	    2.65054e-02	    1.39970e-01	    6.84334e-01	    1.07657e-02	    4.65990e-02	    1.49930e-02
    1.57157e-01	    1.40000e-01	    5.49158e-02	    1.15887e-01	    2.66273e-03	    7.03515e-03	    1.52990e-03	   -4.35192e-03	    2.63959e-02	    1.41841e-01	    6.86510e-01	    1.08417e-02	    4.63616e-02	    1.53571e-02
