#      Name	     Mass	    Gamma	 Spin	Isospin	   I3	Nq	Ns	Naq	Nas	Nc	Nac	       MC	   Nyield	MassLower
# Dc1865zer	 1.864600	0.00000e+00	  0.0	  0.5	  0.5	0	0	1	0	1	0	      421	3.22736e-07	   1.8646
# 1:pbar [GeV]	2:m [GeV]	3:feq 1	4:feq 2	5:fshear 1	6:fshear 2	7:fshear 3	8:fbulk 1	9:fbulk 2	10:ftemperature 1	11:ftemperature 2	12:fvelocity 1	13:fvelocity 2	14:fvelocity 3 	15:fdiff 1	16:fdiff 2	17:fdiff3
    9.24971e-02	    1.86460e+00	    2.58512e-06	    2.75997e-06	    2.41626e-08	    3.06068e-07	    2.60018e-08	    5.05092e-06	    5.52001e-06	    3.46539e-05	    3.73303e-05	    2.49939e-07	    1.90157e-06	    2.67846e-07	    2.49939e-07	    1.90157e-06	    2.67845e-07
    9.54987e-02	    1.86460e+00	    2.66630e-06	    2.84662e-06	    2.65652e-08	    3.17305e-07	    2.85869e-08	    5.20827e-06	    5.69195e-06	    3.57448e-05	    3.85050e-05	    2.66154e-07	    1.91602e-06	    2.85220e-07	    2.66154e-07	    1.91601e-06	    2.85219e-07
    9.85020e-02	    1.86460e+00	    2.74728e-06	    2.93305e-06	    2.91207e-08	    3.28671e-07	    3.13366e-08	    5.36510e-06	    5.86331e-06	    3.68331e-05	    3.96769e-05	    2.82862e-07	    1.93090e-06	    3.03122e-07	    2.82861e-07	    1.93090e-06	    3.03121e-07
    1.01507e-01	    1.86460e+00	    2.82804e-06	    3.01925e-06	    3.18337e-08	    3.40169e-07	    3.42557e-08	    5.52139e-06	    6.03408e-06	    3.79188e-05	    4.08459e-05	    3.00061e-07	    1.94622e-06	    3.21549e-07	    3.00060e-07	    1.94621e-06	    3.21548e-07
    1.04514e-01	    1.86460e+00	    2.90858e-06	    3.10520e-06	    3.47087e-08	    3.51804e-07	    3.73490e-08	    5.67711e-06	    6.20422e-06	    3.90017e-05	    4.20120e-05	    3.17748e-07	    1.96197e-06	    3.40499e-07	    3.17747e-07	    1.96196e-06	    3.40498e-07
    1.07523e-01	    1.86460e+00	    2.98889e-06	    3.19091e-06	    3.77502e-08	    3.63577e-07	    4.06214e-08	    5.83226e-06	    6.37374e-06	    4.00818e-05	    4.31749e-05	    3.35921e-07	    1.97815e-06	    3.59969e-07	    3.35920e-07	    1.97815e-06	    3.59968e-07
    1.10533e-01	    1.86460e+00	    3.06897e-06	    3.27636e-06	    4.09627e-08	    3.75494e-07	    4.40776e-08	    5.98681e-06	    6.54260e-06	    4.11591e-05	    4.43347e-05	    3.54579e-07	    1.99476e-06	    3.79958e-07	    3.54578e-07	    1.99476e-06	    3.79957e-07
    1.13546e-01	    1.86460e+00	    3.14880e-06	    3.36155e-06	    4.43505e-08	    3.87558e-07	    4.77225e-08	    6.14075e-06	    6.71079e-06	    4.22333e-05	    4.54912e-05	    3.73718e-07	    2.01179e-06	    4.00463e-07	    3.73717e-07	    2.01179e-06	    4.00462e-07
    1.16561e-01	    1.86460e+00	    3.22838e-06	    3.44647e-06	    4.79181e-08	    3.99773e-07	    5.15606e-08	    6.29406e-06	    6.87829e-06	    4.33045e-05	    4.66444e-05	    3.93336e-07	    2.02926e-06	    4.21481e-07	    3.93335e-07	    2.02925e-06	    4.21479e-07
    1.19578e-01	    1.86460e+00	    3.30771e-06	    3.53112e-06	    5.16698e-08	    4.12142e-07	    5.55968e-08	    6.44673e-06	    7.04509e-06	    4.43726e-05	    4.77942e-05	    4.13432e-07	    2.04714e-06	    4.43009e-07	    4.13431e-07	    2.04714e-06	    4.43007e-07
